,station_complex,borough,latitude,longitude,transit_timestamp,ridership,service_train
0,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 01:00:00 AM,60,[['L']]
1,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 01:00:00 PM,662,[['L']]
2,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 02:00:00 AM,44,[['L']]
3,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 02:00:00 PM,1108,[['L']]
4,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 03:00:00 AM,25,[['L']]
5,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 03:00:00 PM,1304,[['L']]
6,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 04:00:00 AM,19,[['L']]
7,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 04:00:00 PM,1346,[['L']]
8,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 05:00:00 AM,77,[['L']]
9,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 05:00:00 PM,1470,[['L']]
10,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 06:00:00 AM,308,[['L']]
11,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 06:00:00 PM,1516,[['L']]
12,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 07:00:00 AM,1023,[['L']]
13,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 07:00:00 PM,1138,[['L']]
14,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 08:00:00 AM,2113,[['L']]
15,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 08:00:00 PM,932,[['L']]
16,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 09:00:00 AM,1392,[['L']]
17,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 09:00:00 PM,819,[['L']]
18,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 10:00:00 AM,769,[['L']]
19,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 10:00:00 PM,794,[['L']]
20,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 11:00:00 AM,642,[['L']]
21,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 11:00:00 PM,494,[['L']]
22,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 12:00:00 AM,132,[['L']]
23,1 Av ,Manhattan,40.730953,-73.98163,02/01/2024 12:00:00 PM,675,[['L']]
24,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 01:00:00 AM,8,[['1']]
25,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 01:00:00 PM,456,[['1']]
26,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 02:00:00 AM,3,[['1']]
27,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 02:00:00 PM,484,[['1']]
28,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 03:00:00 AM,8,[['1']]
29,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 03:00:00 PM,560,[['1']]
30,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 04:00:00 AM,18,[['1']]
31,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 04:00:00 PM,578,[['1']]
32,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 05:00:00 AM,66,[['1']]
33,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 05:00:00 PM,689,[['1']]
34,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 06:00:00 AM,212,[['1']]
35,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 06:00:00 PM,615,[['1']]
36,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 07:00:00 AM,720,[['1']]
37,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 07:00:00 PM,368,[['1']]
38,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 08:00:00 AM,1184,[['1']]
39,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 08:00:00 PM,313,[['1']]
40,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 09:00:00 AM,758,[['1']]
41,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 09:00:00 PM,196,[['1']]
42,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 10:00:00 AM,509,[['1']]
43,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 10:00:00 PM,148,[['1']]
44,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 11:00:00 AM,426,[['1']]
45,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 11:00:00 PM,74,[['1']]
46,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 12:00:00 AM,36,[['1']]
47,103 St ,Manhattan,40.799446,-73.968376,02/01/2024 12:00:00 PM,403,[['1']]
48,103 St ,Manhattan,40.7906,-73.94748,02/01/2024 01:00:00 AM,15,[['6']]
49,103 St ,Manhattan,40.7906,-73.94748,02/01/2024 01:00:00 PM,398,[['6']]
50,103 St ,Manhattan,40.7906,-73.94748,02/01/2024 02:00:00 AM,13,[['6']]
51,103 St ,Manhattan,40.7906,-73.94748,02/01/2024 02:00:00 PM,633,[['6']]
52,103 St ,Manhattan,40.7906,-73.94748,02/01/2024 03:00:00 AM,25,[['6']]
53,103 St ,Manhattan,40.7906,-73.94748,02/01/2024 03:00:00 PM,873,[['6']]
